Course Code,Exam Type,Date(s),Room Info
BIO-3609,School exam,Dato: 2. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
BIO-3610,Off campus exam,"Utlevering: 9. desember 2024 kl. 09:00
Innlevering: 10. desember 2024 kl. 14:00",N/A
BIO-3612,Assignment,Innlevering: 29. november 2024 kl. 14:00,N/A
BIO-3612,School exam,Dato: 12. desember 2024 kl. 09:00,"(TROMSO): Teorifagbygget hus 3 – Rom 3.218, lesesal (Tromsø)"
BIO-3613,Skriftlig skoleeksamen,Dato: 22. mai 2025 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
BIO-3615,Off campus exam,"Utlevering: 3. desember 2024 kl. 09:00
Innlevering: 4. desember 2024 kl. 14:00",N/A
BIO-3615,Portfolio,Innlevering: 22. november 2024 kl. 14:00,N/A
BIO-3901,Assignment,Innlevering: 15. mai 2025 kl. 14:00,N/A
BIO-3907,Oppgave,Innlevering: 2. juni 2025 kl. 14:00,N/A
BIO-3930,Assignment,Innlevering: 15. mai 2025 kl. 14:00,N/A
BIO-3950,Assignment,Innlevering: 15. mai 2025 kl. 14:00,N/A
BIO-3955,Oppgave,Innlevering: 15. mai 2025 kl. 14:00,N/A
